"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 12 15:12:14 GMT 2020","Sat Sep 12 15:12:17 GMT 2020","3586","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","loginFormTest","Валидация формы авторизации",""
"failed","Sat Sep 12 15:11:19 GMT 2020","Sat Sep 12 15:11:34 GMT 2020","14700","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","dismissSecondAlertLoginTest","Авторизация с отменой второго алерта",""
"failed","Sat Sep 12 15:10:50 GMT 2020","Sat Sep 12 15:11:00 GMT 2020","10757","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","clearLoginAndPassTest","Ввод и очистка полей логина и пароля",""
"passed","Sat Sep 12 15:10:17 GMT 2020","Sat Sep 12 15:10:21 GMT 2020","3850","Surefire suite","Surefire test","com.test.qabattle.tests.ArticlesTest","com.test.qabattle.tests.ArticlesTest","downloadArticleTest","Проверка скачивания описания статьи",""
"passed","Sat Sep 12 15:11:41 GMT 2020","Sat Sep 12 15:11:57 GMT 2020","16052","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","incorrectLoginTest","Авторизация с некорректными данными",""
"passed","Sat Sep 12 15:10:42 GMT 2020","Sat Sep 12 15:10:43 GMT 2020","802","Surefire suite","Surefire test","com.test.qabattle.tests.ArticlesTest","com.test.qabattle.tests.ArticlesTest","mainPageTest","Валидация главной страницы",""
"passed","Sat Sep 12 15:10:31 GMT 2020","Sat Sep 12 15:10:33 GMT 2020","2104","Surefire suite","Surefire test","com.test.qabattle.tests.ArticlesTest","com.test.qabattle.tests.ArticlesTest","mainPageArticlesTest","Валидация вложенных статей",""
"passed","Sat Sep 12 15:12:24 GMT 2020","Sat Sep 12 15:12:43 GMT 2020","18877","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","successfulLoginTest","Успешная авторизация",""
"passed","Sat Sep 12 15:11:07 GMT 2020","Sat Sep 12 15:11:13 GMT 2020","6063","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","dismissFirstAlertLoginTest","Авторизация с отменой первого алерта",""
"passed","Sat Sep 12 15:12:03 GMT 2020","Sat Sep 12 15:12:07 GMT 2020","3951","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","loginByCookiesTest","Авторизация через Cookie",""
